user_id,username,likes_count
1579501462000,"2020-01-20",
1579501464000,"2020-01-20",
1579501467000,"2020-01-20",
1579501469000,"2020-01-20",
1579501471000,"2020-01-20",
1579501473000,"2020-01-20",
1579501477000,"2020-01-20",
1579501479000,"2020-01-20",
1579501482000,"2020-01-20",
1579501485000,"2020-01-20",
1579501487000,"2020-01-20",
1579501489000,"2020-01-20",
1579501491000,"2020-01-20",
1579501494000,"2020-01-20",
1579501497000,"2020-01-20",
1579501500000,"2020-01-20",
1579501503000,"2020-01-20",
1579501508000,"2020-01-20",
1579501510000,"2020-01-20",
1579501511000,"2020-01-20",
1579501854000,"2020-01-20",
1579501855000,"2020-01-20",
1579501857000,"2020-01-20",
1579501860000,"2020-01-20",
1579501863000,"2020-01-20",
1584331247000,"2020-03-16",
1584331248000,"2020-03-16",
1584331249000,"2020-03-16",
1584331249000,"2020-03-16",
1584331250000,"2020-03-16",
1584331250000,"2020-03-16",
1584331250000,"2020-03-16",
1584331250000,"2020-03-16",
1584331251000,"2020-03-16",
1584331251000,"2020-03-16",
1584331251000,"2020-03-16",
1584331252000,"2020-03-16",
1584331252000,"2020-03-16",
1584331253000,"2020-03-16",
1584331253000,"2020-03-16",
1584331253000,"2020-03-16",
1584331254000,"2020-03-16",
1584331254000,"2020-03-16",
1584331255000,"2020-03-16",
1584331255000,"2020-03-16",
1584331255000,"2020-03-16",
1584331256000,"2020-03-16",
1584331256000,"2020-03-16",
1584331602000,"2020-03-16",
1497707792000,"2017-06-17",
1497848057000,"2017-06-19",
1497960455000,"2017-06-20",
1497976440000,"2017-06-20",
1498232264000,"2017-06-23",
1499070129000,"2017-07-03",
1499070274000,"2017-07-03",
1499070477000,"2017-07-03",
1499070549000,"2017-07-03",
1499095176000,"2017-07-03",
1499517985000,"2017-07-08",
1499688618000,"2017-07-10",
1499858877000,"2017-07-12",
1499859913000,"2017-07-12",
1499860779000,"2017-07-12",
1500118551000,"2017-07-15",
1500713859000,"2017-07-22",
1502445337000,"2017-08-11",
1502875188000,"2017-08-16",
1502877976000,"2017-08-16",
1503146958000,"2017-08-19",
1504717877000,"2017-09-06",
1505668016000,"2017-09-17",
1505747676000,"2017-09-18",
